DATE,WEMMERSHOEK  No.1 Dam,,STEENBRAS No.1,,VOËLVLEI,,THEEWATERS-KLOOF,,WOODHEAD,,DE VILLIERS HOUSE,,NEWLANDS,,WYNBERG,,CONSTANTIA NEK,,PLATTEKLOOF,,BLACKHEATH Upper (WTP),,BLACKHEATH Lower,,GLEN  GARRY,,TYGERBERG,,FAURE,,BROOKLANDS,,ATLANTIS (WESFLEUR),,MOLTENO,,KLOOF NEK,,BERGRIVIER,,NEWLANDS,,STEENBRAS,,WEMMERSHOEK,,BROOKLANDS,,WOODHEAD,,MOLTENO,,STEENBRAS No.2,,STEENBRAS No.3,,STEENBRAS CATCHMENT No.4,,WEMMERS No.2 South,,WEMMERS No.3 North,,WEMMERS No.4 New South,,WEMMERS No.5 New North,,HOUSE,TUNNEL,MILLS,WAAI-VLEI,SPRING-BOK,KITCHEN,WAAI- KOPJE,C/NEK DISA,Day,Month,Year,WEMMERS-HOEK  No.1 Dam,STEEN-BRAS No.1,VOËLVLEI,THEE-WATERS-KLOOF,WOOD-HEAD,DE VILLIERS,NEW-LANDS,WYN-BERG,CON-STANTIA,PLATTE-KLOOF,BLACK-HEATH Upper,BLACK-HEATH Lower,GLEN  GARRY,TYGER-BERG,FAURE,BROOK-LANDS,ATLANTIS,MOLTENO,KLOOF NEK,BERG-RIVIER
08-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,6.5,,0,,6,,3,,,,,,,,,,0,,8,,,,,,,,,,,,,,8,3,2006,,,,,,,,,,,,,,,,,,,,
09-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,6,,0,,7,,3,,,,,,,,,,0,,12.5,,,,,,,,,,,,,,9,3,2006,,,,,,,,,,,,,,,,,,,,
10-Mar-06,0,,0,,0,,,,15,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,5,,0,,3,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,10,3,2006,,,,,,,,,,,,,,,,,,,,
11-Mar-06,1.8,,7.7,,5,,,,0,,,,4,,6,,7,,0,,4.9,,5,,2.1,,3.6,,4,,0,,,,,,,,,,,,4.2,,0,,7,,0,,,,,,,,,,1.8,,6.7,,,,,,,,,,,,,,11,3,2006,,,,,,,,,,,,,,,,,,,,
12-Mar-06,0,,1,,0,,,,0,,,,0,,0,,1,,4.5,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4.5,,0,,6.5,,4,,,,,,,,,,0,,7,,,,,,,,,,,,,,12,3,2006,,,,,,,,,,,,,,,,,,,,
13-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,5,,0,,6,,4,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,13,3,2006,,,,,,,,,,,,,,,,,,,,
14-Mar-06,0,,0,,0,,,,2.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4,,0,,6,,5,,,,,,,,,,0,,7.5,,,,,,,,,,,,,,14,3,2006,,,,,,,,,,,,,,,,,,,,
15-Mar-06,0,,1,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0.9,,0,,,,,,,,,,,,4,,0,,2,,0,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,15,3,2006,,,,,,,,,,,,,,,,,,,,
16-Mar-06,0,,0,,0,,,,0,,,,1.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4.5,,0,,1,,4,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,16,3,2006,,,,,,,,,,,,,,,,,,,,
17-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4.5,,0,,6,,3,,,,,,,,,,0,,4.1,,,,,,,,,,,,,,17,3,2006,,,,,,,,,,,,,,,,,,,,
18-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3.5,,0,,6,,2,,,,,,,,,,0,,8.5,,,,,,,,,,,,,,18,3,2006,,,,,,,,,,,,,,,,,,,,
19-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,3.5,,0,,3,,4,,,,,,,,,,0,,5.5,,,,,,,,,,,,,,19,3,2006,,,,,,,,,,,,,,,,,,,,
20-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,6,,0,,4,,5,,,,,,,,,,0,,7.5,,,,,,,,,,,,,,20,3,2006,,,,,,,,,,,,,,,,,,,,
21-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4,,0,,7,,3,,,,,,,,,,0,,7,,,,,,,,,,,,,,21,3,2006,,,,,,,,,,,,,,,,,,,,
22-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,7,,0,,6,,3,,,,,,,,,,0,,6,,,,,,,,,,,,,,22,3,2006,,,,,,,,,,,,,,,,,,,,
23-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,7,,0,,5,,5,,,,,,,,,,0,,7.5,,,,,,,,,,,,,,23,3,2006,,,,,,,,,,,,,,,,,,,,
24-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3.5,,0,,7,,5,,,,,,,,,,0,,7.5,,,,,,,,,,,,,,24,3,2006,,,,,,,,,,,,,,,,,,,,
25-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,5,,0,,4,,4,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,25,3,2006,,,,,,,,,,,,,,,,,,,,
26-Mar-06,0,,0,,0,,,,0,,,,0.5,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4.5,,0,,5,,3,,,,,,,,,,0,,8.5,,,,,,,,,,,,,,26,3,2006,,,,,,,,,,,,,,,,,,,,
27-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.5,,,,,,,,,,,,4.5,,0,,4,,3,,,,,,,,,,0,,8,,,,,,,,,,,,,,27,3,2006,,,,,,,,,,,,,,,,,,,,
28-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,2,,,,,,,,,,,,5,,0,,4,,0,,,,,,,,,,0,,6,,,,,,,,,,,,,,28,3,2006,,,,,,,,,,,,,,,,,,,,
29-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3.5,,0,,7,,3,,,,,,,,,,0,,6,,,,,,,,,,,,,,29,3,2006,,,,,,,,,,,,,,,,,,,,
30-Mar-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,4.5,,0,,6,,5,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,30,3,2006,,,,,,,,,,,,,,,,,,,,
31-Mar-06,0,9.3,0,14.1,0,8,,,0,17.5,,,0,13.3,0,12.8,0,16,0,5.4,0,6.2,0,8,0,2.1,0,3.6,0,6.9,0,11.5,,,,,,,,,,,4.5,152.1,0,0,8,167.5,4,106,,,,,,,,,0,9.3,4.5,213.3,,0,,0,,,,,,,,,31,3,2006,2,5,2,,2,,4,2,3,2,2,2,1,1,4,5,,0,,
01-Apr-06,0,,0,,0,,,,1,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,5.5,,0,,6,,4,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,1,4,2006,,,,,,,,,,,,,,,,,,,,
02-Apr-06,0,,0,,1,,,,3.8,,,,0,,0.9,,0,,0.6,,0.1,,0.5,,0,,0,,0.5,,0,,,,,,,,,,,,3.5,,0,,5,,2,,,,,,,,,,0,,5.5,,,,,,,,,,,,,,2,4,2006,,,,,,,,,,,,,,,,,,,,
03-Apr-06,3.4,,3.6,,0.5,,,,0,,,,3,,2.1,,0,,2.2,,3.2,,3,,4.1,,1.8,,3,,1,,,,,,,,,,,,3.6,,0,,1,,0,,,,,,,,,,3.4,,4.4,,,,,,,,,,,,,,3,4,2006,,,,,,,,,,,,,,,,,,,,
04-Apr-06,0,,0,,0,,,,0,,,,4,,1.1,,0,,0,,0,,0,,0,,0,,0,,2.5,,,,,,,,,,,,3,,0,,0,,1,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,4,4,2006,,,,,,,,,,,,,,,,,,,,
05-Apr-06,0,,0,,0,,,,4.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0,,0,,2.5,,3,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,5,4,2006,,,,,,,,,,,,,,,,,,,,
06-Apr-06,3.1,,13.1,,6,,,,0,,,,3,,1.1,,6,,2.8,,3,,3.5,,2.1,,2,,4,,1.5,,,,,,,,,,,,2.1,,0,,3,,0,,,,,,,,,,3.1,,4.1,,,,,,,,,,,,,,6,4,2006,,,,,,,,,,,,,,,,,,,,
07-Apr-06,0,,2.9,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,6.5,,,,,,,,,,,,2.9,,0,,0,,3,,,,,,,,,,0,,6.5,,,,,,,,,,,,,,7,4,2006,,,,,,,,,,,,,,,,,,,,
08-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5,,3,,,,,,,,,,0,,5,,,,,,,,,,,,,,8,4,2006,,,,,,,,,,,,,,,,,,,,
09-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,6.5,,0,,5,,2,,,,,,,,,,0,,5.5,,,,,,,,,,,,,,9,4,2006,,,,,,,,,,,,,,,,,,,,
10-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3,,0,,5,,2,,,,,,,,,,0,,5,,,,,,,,,,,,,,10,4,2006,,,,,,,,,,,,,,,,,,,,
11-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3,,0,,4,,2,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,11,4,2006,,,,,,,,,,,,,,,,,,,,
12-Apr-06,0,,0,,0,,,,3,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,4,,3,,,,,,,,,,0,,3,,,,,,,,,,,,,,12,4,2006,,,,,,,,,,,,,,,,,,,,
13-Apr-06,0,,1.5,,0,,,,2.5,,,,1,,1.3,,2,,0,,3.5,,2,,1,,0,,1,,0,,,,,,,,,,,,2,,0,,4,,0,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,13,4,2006,,,,,,,,,,,,,,,,,,,,
14-Apr-06,0,,0,,0,,,,2,,,,0,,0,,0,,2.2,,0,,0,,0,,0.8,,0,,0,,,,,,,,,,,,2.5,,0,,5,,0,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,14,4,2006,,,,,,,,,,,,,,,,,,,,
15-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1,,,,,,,,,,,,2,,0,,4,,0,,,,,,,,,,0,,4,,,,,,,,,,,,,,15,4,2006,,,,,,,,,,,,,,,,,,,,
16-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,5,,1,,,,,,,,,,0,,4,,,,,,,,,,,,,,16,4,2006,,,,,,,,,,,,,,,,,,,,
17-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,1.5,,,,,,,,,,,,2,,0,,1,,1,,,,,,,,,,0,,5,,,,,,,,,,,,,,17,4,2006,,,,,,,,,,,,,,,,,,,,
18-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,5,,2,,,,,,,,,,0,,4.5,,,,,,,,,,,,,,18,4,2006,,,,,,,,,,,,,,,,,,,,
19-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,5,,3,,,,,,,,,,0,,3,,,,,,,,,,,,,,19,4,2006,,,,,,,,,,,,,,,,,,,,
20-Apr-06,1.3,,0,,1.4,,,,46,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,3,,,,,,,,,,1.3,,3.3,,,,,,,,,,,,,,20,4,2006,,,,,,,,,,,,,,,,,,,,
21-Apr-06,60,,25.5,,24,,,,15,,,,51,,55,,42,,0,,16,,14.6,,0,,19,,12,,0,,,,,,,,,,,,0.5,,0,,4,,0,,,,,,,,,,60,,0,,,,,,,,,,,,,,21,4,2006,,,,,,,,,,,,,,,,,,,,
22-Apr-06,6.5,,13.6,,8,,,,22,,,,7.5,,5.6,,7,,7,,4.5,,4,,18.5,,4,,6,,25,,,,,,,,,,,,4.6,,0,,0,,0,,,,,,,,,,6.5,,0.5,,,,,,,,,,,,,,22,4,2006,,,,,,,,,,,,,,,,,,,,
23-Apr-06,1.1,,14,,1,,,,0,,,,15,,2.1,,7,,2.5,,0,,0,,6.3,,0.8,,2.5,,22,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,1.1,,0.6,,,,,,,,,,,,,,23,4,2006,,,,,,,,,,,,,,,,,,,,
24-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,7,,,,,,,,,,,,1,,0,,0,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,24,4,2006,,,,,,,,,,,,,,,,,,,,
25-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,3,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,25,4,2006,,,,,,,,,,,,,,,,,,,,
26-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,3,,0,,3,,3,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,26,4,2006,,,,,,,,,,,,,,,,,,,,
27-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,6,,3,,,,,,,,,,0,,3,,,,,,,,,,,,,,27,4,2006,,,,,,,,,,,,,,,,,,,,
28-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,4,,1,,,,,,,,,,0,,4,,,,,,,,,,,,,,28,4,2006,,,,,,,,,,,,,,,,,,,,
29-Apr-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.8,,0,,7,,2.5,,,,,,,,,,0,,6,,,,,,,,,,,,,,29,4,2006,,,,,,,,,,,,,,,,,,,,
30-Apr-06,0,75.4,1.3,75.5,0,41.9,,,0,99.8,,,0,84.5,0,69.2,0,64,0,17.3,0,30.3,0,27.6,0,32,0,28.4,0,29,0,68,,,,,,,,,,,2.3,72.3,0,0,2,101.5,2.5,51,,,,,,,,,0,75.4,4,114.9,,0,,0,,,,,,,,,30,4,2006,6,8,7,,9,,7,8,5,6,6,6,5,6,7,9,,0,,
01-May-06,4.5,,0,,0,,,,1,,,,0,,0,,0,,0,,0.4,,0.5,,0.3,,0,,1,,0,,,,,,,,,,,,2,,0,,5,,1.5,,,,,,,,,,4.5,,2.5,,,,,,,,,,,,,,1,5,2006,,,,,,,,,,,,,,,,,,,,
02-May-06,1.5,,0,,2,,,,18.5,,,,0,,0.5,,9,,2,,0.5,,0.2,,0.1,,0,,0,,0,,,,,,,,,,,,0.5,,0,,4,,0,,,,,,,,,,1.5,,0.5,,,,,,,,,,,,,,2,5,2006,,,,,,,,,,,,,,,,,,,,
03-May-06,0.1,,4,,0,,,,2,,,,9,,1,,6.2,,0,,0.5,,1,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,0,,0,,,,,,,,,,0.1,,1.6,,,,,,,,,,,,,,3,5,2006,,,,,,,,,,,,,,,,,,,,
04-May-06,0,,0,,1.5,,,,28.5,,,,1,,1.2,,0,,0,,0,,0,,0,,0,,0,,4.5,,,,,,,,,,,,1,,0,,0,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,4,5,2006,,,,,,,,,,,,,,,,,,,,
05-May-06,37,,26,,28,,,,3,,,,28.5,,41,,14,,10.6,,15.3,,16.5,,18.6,,17.5,,16,,3,,,,,,,,,,,,2,,0,,0,,0,,,,,,,,,,37,,3.5,,,,,,,,,,,,,,5,5,2006,,,,,,,,,,,,,,,,,,,,
06-May-06,0.9,,2.8,,0,,,,0,,,,2,,41.5,,3,,0.5,,0.5,,1,,0,,0,,2,,22,,,,,,,,,,,,1.3,,0,,0,,0,,,,,,,,,,0.9,,1.8,,,,,,,,,,,,,,6,5,2006,,,,,,,,,,,,,,,,,,,,
07-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,4,,,,,,,,,,,,1.5,,0,,0,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,7,5,2006,,,,,,,,,,,,,,,,,,,,
08-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,5,,,,,,,,,,0,,2,,,,,,,,,,,,,,8,5,2006,,,,,,,,,,,,,,,,,,,,
09-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,2,,3,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,9,5,2006,,,,,,,,,,,,,,,,,,,,
10-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,3,,2,,,,,,,,,,0,,3,,,,,,,,,,,,,,10,5,2006,,,,,,,,,,,,,,,,,,,,
11-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,3,,7,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,11,5,2006,,,,,,,,,,,,,,,,,,,,
12-May-06,0,,0,,0,,,,7.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,3,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,12,5,2006,,,,,,,,,,,,,,,,,,,,
13-May-06,5.5,,14.5,,1.2,,,,0,,,,4,,5.5,,5.1,,0,,5,,9,,4.5,,7.2,,5,,0,,,,,,,,,,,,0,,0,,4,,0,,,,,,,,,,5.5,,1.5,,,,,,,,,,,,,,13,5,2006,,,,,,,,,,,,,,,,,,,,
14-May-06,0,,0,,0.1,,,,0,,,,0,,0,,0,,5.4,,0,,0,,0,,0,,0,,7,,,,,,,,,,,,1,,0,,0,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,14,5,2006,,,,,,,,,,,,,,,,,,,,
15-May-06,0,,0,,0,,,,39,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5,,0,,,,,,,,,,0,,1,,,,,,,,,,,,,,15,5,2006,,,,,,,,,,,,,,,,,,,,
16-May-06,12.3,,9.2,,10.7,,,,20,,,,33,,28.1,,29,,0,,7.5,,10,,13.3,,8.8,,4,,0,,,,,,,,,,,,1.2,,0,,2,,0,,,,,,,,,,12.3,,2.3,,,,,,,,,,,,,,16,5,2006,,,,,,,,,,,,,,,,,,,,
17-May-06,22.5,,13,,36,,,,85,,,,63,,31.1,,20,,3.4,,13,,14.5,,22.3,,9.6,,3.5,,18,,,,,,,,,,,,1,,0,,0,,0,,,,,,,,,,22.5,,0,,,,,,,,,,,,,,17,5,2006,,,,,,,,,,,,,,,,,,,,
18-May-06,36.4,,12.5,,28,,,,36,,,,13,,11,,10,,7.8,,7.6,,6,,7,,14.5,,20,,9,,,,,,,,,,,,0.5,,0,,0,,0,,,,,,,,,,36.4,,0,,,,,,,,,,,,,,18,5,2006,,,,,,,,,,,,,,,,,,,,
19-May-06,23.2,,25,,8,,,,10.5,,,,46,,29.4,,26,,10.5,,14,,16.2,,26,,19.9,,21,,10,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,23.2,,6,,,,,,,,,,,,,,19,5,2006,,,,,,,,,,,,,,,,,,,,
20-May-06,0.5,,4.5,,0,,,,10.5,,,,16.5,,5.5,,18,,9.2,,5,,5.8,,6.8,,7.7,,6,,38,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,0.5,,1,,,,,,,,,,,,,,20,5,2006,,,,,,,,,,,,,,,,,,,,
21-May-06,1.1,,6.4,,2,,,,20,,,,6.5,,2.5,,8,,5.3,,5,,2.8,,4.3,,3,,3,,16,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,1.1,,0.6,,,,,,,,,,,,,,21,5,2006,,,,,,,,,,,,,,,,,,,,
22-May-06,17,,19.1,,7,,,,0,,,,28,,13.5,,18,,15.6,,21,,20.1,,20.05,,10,,24,,10,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,17,,0.5,,,,,,,,,,,,,,22,5,2006,,,,,,,,,,,,,,,,,,,,
23-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0.5,,0,,0,,21,,,,,,,,,,,,0,,0,,0,,1,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,23,5,2006,,,,,,,,,,,,,,,,,,,,
24-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,3,,0,,,,,,,,,,0,,2,,,,,,,,,,,,,,24,5,2006,,,,,,,,,,,,,,,,,,,,
25-May-06,0,,0,,0,,,,53,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5,,3,,,,,,,,,,0,,2,,,,,,,,,,,,,,25,5,2006,,,,,,,,,,,,,,,,,,,,
26-May-06,22.4,,41.5,,18,,,,13.5,,,,62,,35,,34,,12.7,,13.5,,13.2,,21,,13,,16,,0,,,,,,,,,,,,0,,0,,3,,0,,,,,,,,,,22.4,,0,,,,,,,,,,,,,,26,5,2006,,,,,,,,,,,,,,,,,,,,
27-May-06,3,,10,,12,,,,0,,,,7,,8,,9.2,,6.5,,4,,2.5,,2.5,,3.5,,2,,24,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,3,,0.5,,,,,,,,,,,,,,27,5,2006,,,,,,,,,,,,,,,,,,,,
28-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,10,,,,,,,,,,,,0,,0,,0,,2.5,,,,,,,,,,0,,1,,,,,,,,,,,,,,28,5,2006,,,,,,,,,,,,,,,,,,,,
29-May-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,1,,1,,,,,,,,,,0,,1,,,,,,,,,,,,,,29,5,2006,,,,,,,,,,,,,,,,,,,,
30-May-06,0,,0,,0,,,,1.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,0.5,,0,,1,,1,,,,,,,,,,0,,1.5,,,,,,,,,,,,,,30,5,2006,,,,,,,,,,,,,,,,,,,,
31-May-06,0,187.9,0,188.5,0,154.5,,,22,371.5,,,0,319.5,0,254.8,0,209.5,0,89.5,0,112.8,0,119.3,0,147.25,0,114.7,0,123.5,0,196.5,,,,,,,,,,,1,27.5,0,0,2,49,0,34,,,,,,,,,0,187.9,3.5,55.3,,0,,0,,,,,,,,,31,5,2006,15,13,13,,17,,14,15,14,12,15,15,14,11,13,14,,0,,
01-Jun-06,6.5,,16,,8,,,,0,,,,27,,9,,12,,6,,6,,6,,8,,5.2,,11,,0,,,,,,,,,,,,0,,0,,1,,0,,,,,,,,,,6.5,,0,,,,,,,,,,,,,,1,6,2006,,,,,,,,,,,,,,,,,,,,
02-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0.5,,0,,0.6,,0.5,,0,,0,,3,,14,,,,,,,,,,,,1.5,,0,,0,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,2,6,2006,,,,,,,,,,,,,,,,,,,,
03-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,4,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,3,6,2006,,,,,,,,,,,,,,,,,,,,
04-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,2,,4,,,,,,,,,,0,,3,,,,,,,,,,,,,,4,6,2006,,,,,,,,,,,,,,,,,,,,
05-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,3,,5,,,,,,,,,,0,,3.5,,,,,,,,,,,,,,5,6,2006,,,,,,,,,,,,,,,,,,,,
06-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2.5,,0,,2,,5,,,,,,,,,,0,,4,,,,,,,,,,,,,,6,6,2006,,,,,,,,,,,,,,,,,,,,
07-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,4,,2,,,,,,,,,,0,,1,,,,,,,,,,,,,,7,6,2006,,,,,,,,,,,,,,,,,,,,
08-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1.5,,0,,5.5,,2,,,,,,,,,,0,,2.5,,,,,,,,,,,,,,8,6,2006,,,,,,,,,,,,,,,,,,,,
09-Jun-06,0,,0,,0,,,,0,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,2,,0,,2,,2,,,,,,,,,,0,,2,,,,,,,,,,,,,,9,6,2006,,,,,,,,,,,,,,,,,,,,
10-Jun-06,0,,0,,0,,,,26.5,,,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,,,,,,,,,,,1,,0,,2,,2,,,,,,,,,,0,,4,,,,,,,,,,,,,,10,6,2006,,,,,,,,,,,,,,,,,,,,
11-Jun-06,9.4,,5,,0,,,,46,,,,2,,11.2,,9,,5,,5,,8,,7.5,,7.5,,6,,0,,,,,,,,,,,,2,,0,,2,,0,,,,,,,,,,9.4,,2,,,,,,,,,,,,,,11,6,2006,,,,,,,,,,,,,,,,,,,,
12-Jun-06,57,,19.5,,37,,,,18.5,,,,125.5,,107.2,,50,,6.8,,16.7,,20,,22.5,,12.2,,8,,12,,,,,,,,,,,,0,,0,,0,,0,,,,,,,,,,57,,0,,,,,,,,,,,,,,12,6,2006,,,,,,,,,,,,,,,,,,,,
